,score
France,0.13036223036223035
United States,0.1153454415954416
Czechoslovakia,0.10576923076923077
Russia,0.08081247456247458
North Korea,0.07980006105006106
Germany,0.07518874643874643
United Kingdom,0.06987179487179486
Japan,0.06372150997150997
China,0.05568376068376068
India,0.05270197395197395
Israel,0.038951973951973945
Canada,0.03817205942205942
Vietnam,0.03733974358974359
Yugoslavia,0.03717948717948718
Poland,0.028076923076923076
